batsman,city,strike_rate,played_well
A Ashish Reddy,Bangalore,more than 120,yes
A Chandila,Bangalore,less than 120,no
A Chopra,Bangalore,less than 120,no
A Choudhary,Bangalore,more than 120,yes
A Flintoff,Bangalore,less than 120,no
A Kumble,Kolkata,less than 120,no
A Kumble,Delhi,more than 120,yes
A Mishra,Delhi,less than 120,no
A Mishra,Kolkata,less than 120,no
A Mithun,Delhi,less than 120,no
A Mithun,Kolkata,more than 120,yes
A Mukund,Kolkata,less than 120,no
A Mukund,Mumbai,more than 120,yes
A Nehra,Kolkata,less than 120,no
A Nehra,Kolkata,less than 120,no
A Singh,Chennai,less than 120,no
A Singh,Kolkata,less than 120,no
A Symonds,Bangalore,more than 120,yes
A Symonds,Kolkata,more than 120,yes
A Uniyal,Kolkata,less than 120,no
A Zampa,Kolkata,less than 120,no
AA Bilakhia,Bangalore,less than 120,no
AA Chavan,Bangalore,less than 120,no
AA Jhunjhunwala,Chennai,less than 120,no
AA Jhunjhunwala,Bangalore,more than 120,yes
AA Noffke,Bangalore,less than 120,no
AB Agarkar,Bangalore,less than 120,no
AB Barath,Bangalore,less than 120,no
AB de Villiers,Bangalore,more than 120,yes
AB Dinda,Bangalore,less than 120,no
AB McDonald,Bangalore,less than 120,no
Abdur Razzak,Bangalore,less than 120,no
AC Blizzard,Bangalore,more than 120,yes
AC Gilchrist,Bangalore,more than 120,yes
AC Thomas,Bangalore,less than 120,no
AC Voges,Bangalore,more than 120,yes
AD Mascarenhas,Bangalore,less than 120,no
AD Mathews,Bangalore,more than 120,yes
AD Nath,Bangalore,less than 120,no
AD Russell,Bangalore,more than 120,yes
AF Milne,Bangalore,less than 120,no
AG Murtaza,Bangalore,less than 120,no
AG Paunikar,Bangalore,less than 120,no
AJ Finch,Bangalore,more than 120,yes
AJ Tye,Bangalore,less than 120,no
AJ Tye,Bangalore,more than 120,yes
AL Menaria,Bangalore,less than 120,no
AM Nayar,Bangalore,less than 120,no
AM Rahane,Bangalore,less than 120,no
AN Ahmed,Bangalore,more than 120,yes
AN Ghosh,Bangalore,less than 120,no
Anirudh Singh,Bangalore,less than 120,no
Ankit Sharma,Bangalore,more than 120,yes
Ankit Soni,Bangalore,less than 120,no
Anureet Singh,Bangalore,less than 120,no
AP Dole,Bangalore,more than 120,yes
AP Majumdar,Bangalore,less than 120,no
AP Tare,Chennai,less than 120,no
AR Bawne,Chennai,less than 120,no
AR Patel,Chennai,more than 120,yes
AS Rajpoot,Chennai,less than 120,no
AS Raut,Chennai,less than 120,no
AS Yadav,Chennai,more than 120,yes
AT Rayudu,Chennai,more than 120,yes
AUK Pathan,Chennai,more than 120,yes
Azhar Mahmood,Chennai,more than 120,yes
B Akhil,Chennai,more than 120,yes
B Chipli,Chennai,less than 120,no
B Kumar,Bangalore,less than 120,no
B Kumar,Bangalore,more than 120,yes
B Laughlin,Bangalore,less than 120,no
B Lee,Bangalore,more than 120,yes
B Sumanth,Bangalore,less than 120,no
BA Bhatt,Bangalore,less than 120,no
BA Stokes,Bangalore,more than 120,yes
Basil Thampi,Bangalore,less than 120,no
BAW Mendis,Delhi,less than 120,no
BB McCullum,Delhi,more than 120,yes
BB Samantray,Delhi,less than 120,no
BB Sran,Delhi,less than 120,no
BCJ Cutting,Delhi,more than 120,yes
BE Hendricks,Delhi,less than 120,no
Bipul Sharma,Delhi,more than 120,yes
BJ Haddin,Delhi,more than 120,yes
BJ Hodge,Delhi,more than 120,yes
BJ Rohrer,Delhi,more than 120,yes
BMAJ Mendis,Delhi,less than 120,no
BR Dunk,Delhi,less than 120,no
C de Grandhomme,Delhi,more than 120,yes
C Madan,Delhi,less than 120,no
C Munro,Delhi,less than 120,no
C Nanda,Delhi,less than 120,no
CA Ingram,Delhi,less than 120,no
CA Lynn,Delhi,more than 120,yes
CA Pujara,Bangalore,less than 120,no
CH Gayle,Bangalore,more than 120,yes
CH Morris,Bangalore,more than 120,yes
CJ Anderson,Hyderabad,more than 120,yes
CJ Ferguson,Hyderabad,less than 120,no
CJ Jordan,Hyderabad,less than 120,no
CJ McKay,Hyderabad,less than 120,no
CK Kapugedera,Hyderabad,less than 120,no
CK Langeveldt,Hyderabad,less than 120,no
CL White,Hyderabad,more than 120,yes
CM Gautam,Hyderabad,less than 120,no
CR Brathwaite,Hyderabad,more than 120,yes
CR Woakes,Hyderabad,less than 120,no
CRD Fernando,Hyderabad,more than 120,yes
D du Preez,Hyderabad,less than 120,no
D Kalyankrishna,Hyderabad,less than 120,no
D Salunkhe,Hyderabad,more than 120,yes
D Wiese,Hyderabad,more than 120,yes
DA Miller,Hyderabad,more than 120,yes
DA Warner,Hyderabad,more than 120,yes
DAJ Bracewell,Hyderabad,more than 120,yes
DB Das,Hyderabad,less than 120,no
DB Ravi Teja,Hyderabad,less than 120,no
DE Bollinger,Hyderabad,less than 120,no
DH Yagnik,Hyderabad,less than 120,no
DJ Bravo,Hyderabad,more than 120,yes
DJ Harris,Hyderabad,less than 120,no
DJ Hooda,Hyderabad,more than 120,yes
DJ Hussey,Hyderabad,more than 120,yes
DJ Jacobs,Hyderabad,less than 120,no
DJ Muthuswami,Hyderabad,less than 120,no
DJ Thornely,Hyderabad,less than 120,no
DJG Sammy,Hyderabad,less than 120,no
DL Chahar,Hyderabad,more than 120,yes
DL Vettori,Hyderabad,less than 120,no
DM Bravo,Hyderabad,more than 120,yes
DNT Zoysa,Hyderabad,more than 120,yes
DP Nannes,Hyderabad,less than 120,no
DP Vijaykumar,Hyderabad,less than 120,no
DPMD Jayawardene,Hyderabad,less than 120,no
DR Martyn,Hyderabad,less than 120,no
DR Smith,Hyderabad,more than 120,yes
DS Kulkarni,Hyderabad,less than 120,no
DS Lehmann,Hyderabad,less than 120,no
DT Christian,Hyderabad,less than 120,no
DT Patil,Hyderabad,less than 120,no
DW Steyn,Hyderabad,less than 120,no
EJG Morgan,Hyderabad,less than 120,no
ER Dwivedi,Hyderabad,more than 120,yes
F Behardien,Chennai,less than 120,no
F du Plessis,Chennai,more than 120,yes
FH Edwards,Chennai,less than 120,no
FY Fazal,Chennai,less than 120,no
G Gambhir,Chennai,more than 120,yes
GB Hogg,Chennai,less than 120,no
GC Smith,Chennai,less than 120,no
GD McGrath,Chennai,less than 120,no
GH Vihari,Chennai,less than 120,no
GJ Bailey,Chennai,more than 120,yes
GJ Maxwell,Chennai,more than 120,yes
GR Napier,Chennai,less than 120,no
Gurkeerat Singh,Chennai,more than 120,yes
H Das,Delhi,less than 120,no
Harbhajan Singh,Delhi,more than 120,yes
Harmeet Singh,Delhi,more than 120,yes
Harpreet Singh,Delhi,less than 120,no
HH Gibbs,Delhi,less than 120,no
HH Pandya,Delhi,more than 120,yes
HM Amla,Delhi,more than 120,yes
HV Patel,Delhi,more than 120,yes
I Malhotra,Delhi,more than 120,yes
I Sharma,Delhi,less than 120,no
IC Pandey,Delhi,less than 120,no
IK Pathan,Delhi,less than 120,no
Imran Tahir,Delhi,less than 120,no
Iqbal Abdulla,Delhi,less than 120,no
IR Jaggi,Delhi,less than 120,no
Ishan Kishan,Delhi,more than 120,yes
J Arunkumar,Delhi,less than 120,no
J Botha,Delhi,less than 120,no
J Suchith,Delhi,more than 120,yes
J Syed Mohammad,Delhi,less than 120,no
J Theron,Delhi,less than 120,no
J Yadav,Delhi,less than 120,no
JA Morkel,Delhi,more than 120,yes
Jaskaran Singh,Delhi,less than 120,no
JC Buttler,Delhi,more than 120,yes
JD Ryder,Delhi,more than 120,yes
JD Unadkat,Delhi,less than 120,no
JDP Oram,Delhi,less than 120,no
JDS Neesham,Delhi,less than 120,no
JE Taylor,Delhi,less than 120,no
JEC Franklin,Delhi,less than 120,no
JH Kallis,Delhi,less than 120,no
JJ Bumrah,Delhi,less than 120,no
JJ Roy,Delhi,more than 120,yes
JJ van der Wath,Delhi,less than 120,no
JM Kemp,Delhi,less than 120,no
JO Holder,Delhi,less than 120,no
Joginder Sharma,Delhi,more than 120,yes
JP Duminy,Delhi,more than 120,yes
JP Faulkner,Pune,more than 120,yes
JR Hopes,Pune,more than 120,yes
K Goel,Pune,less than 120,no
K Rabada,Pune,less than 120,no
K Upadhyay,Pune,more than 120,yes
KA Pollard,Pune,more than 120,yes
KAJ Roach,Pune,less than 120,no
Kamran Akmal,Pune,more than 120,yes
Kamran Khan,Pune,less than 120,no
Karanveer Singh,Pune,less than 120,no
KB Arun Karthik,Pune,less than 120,no
KC Cariappa,Pune,less than 120,no
KC Sangakkara,Pune,less than 120,no
KD Karthik,Pune,more than 120,yes
KH Pandya,Pune,less than 120,no
KH Pandya,Pune,less than 120,no
KH Pandya,Pune,less than 120,no
KH Pandya,Pune,more than 120,yes
KH Pandya,Pune,more than 120,yes
KJ Abbott,Pune,more than 120,yes
KK Cooper,Pune,more than 120,yes
KK Nair,Pune,more than 120,yes
KL Rahul,Pune,more than 120,yes
KM Jadhav,Pune,more than 120,yes
KMDN Kulasekara,Pune,more than 120,yes
KP Appanna,Pune,less than 120,no
KP Pietersen,Pune,more than 120,yes
KS Williamson,Pune,more than 120,yes
Kuldeep Yadav,Pune,less than 120,no
KV Sharma,Pune,less than 120,no
KW Richardson,Pune,less than 120,no
L Ablish,Pune,less than 120,no
L Balaji,Pune,less than 120,no
L Ronchi,Pune,less than 120,no
LA Carseldine,Pune,less than 120,no
LA Pomersbach,Pune,more than 120,yes
LH Ferguson,Pune,less than 120,no
LJ Wright,Pune,more than 120,yes
LMP Simmons,Pune,more than 120,yes
LPC Silva,Pune,more than 120,yes
LR Shukla,Pune,less than 120,no
LRPL Taylor,Pune,more than 120,yes
M Ashwin,Pune,less than 120,no
M de Lange,Mumbai,less than 120,no
M Kaif,Mumbai,less than 120,no
M Kartik,Mumbai,less than 120,no
M Klinger,Mumbai,less than 120,no
M Manhas,Mumbai,less than 120,no
M Morkel,Mumbai,more than 120,yes
M Muralitharan,Mumbai,less than 120,no
M Ntini,Mumbai,less than 120,no
M Rawat,Mumbai,less than 120,no
M Vijay,Mumbai,more than 120,yes
M Vohra,Mumbai,more than 120,yes
MA Agarwal,Mumbai,less than 120,no
MA Khote,Mumbai,less than 120,no
MA Starc,Mumbai,less than 120,no
Mandeep Singh,Mumbai,less than 120,no
Mashrafe Mortaza,Mumbai,less than 120,no
MC Henriques,Mumbai,more than 120,yes
MC Juneja,Mumbai,less than 120,no
MD Mishra,Mumbai,less than 120,no
MDKJ Perera,Mumbai,less than 120,no
MEK Hussey,Mumbai,less than 120,no
MF Maharoof,Mumbai,more than 120,yes
MG Johnson,Mumbai,less than 120,no
Misbah-ul-Haq,Mumbai,more than 120,yes
MJ Clarke,Mumbai,less than 120,no
MJ Guptill,Mumbai,more than 120,yes
MJ Lumb,Mumbai,more than 120,yes
MJ McClenaghan,Mumbai,more than 120,yes
MK Pandey,Mumbai,less than 120,no
MK Tiwary,Mumbai,less than 120,no
ML Hayden,Mumbai,more than 120,yes
MM Patel,Mumbai,less than 120,no
MM Sharma,Mumbai,less than 120,no
MN Samuels,Mumbai,less than 120,no
MN van Wyk,Mumbai,more than 120,yes
Mohammad Ashraful,Mumbai,less than 120,no
Mohammad Asif,Mumbai,less than 120,no
Mohammad Hafeez,Mumbai,less than 120,no
Mohammad Nabi,Mumbai,less than 120,no
Mohammed Shami,Mumbai,less than 120,no
MP Stoinis,Mumbai,less than 120,no
MR Marsh,Mumbai,less than 120,no
MS Bisla,Mumbai,less than 120,no
MS Dhoni,Mumbai,more than 120,yes
MS Gony,Mumbai,more than 120,yes
MS Wade,Mumbai,less than 120,no
MV Boucher,Mumbai,more than 120,yes
N Rana,Mumbai,more than 120,yes
N Saini,Mumbai,less than 120,no
ND Doshi,Mumbai,less than 120,no
Niraj Patel,Mumbai,less than 120,no
NJ Maddinson,Mumbai,less than 120,no
NJ Rimmington,Mumbai,less than 120,no
NL McCullum,Mumbai,less than 120,no
NLTC Perera,Mumbai,more than 120,yes
NM Coulter-Nile,Mumbai,less than 120,no
NM Coulter-Nile,Mumbai,more than 120,yes
NS Naik,Mumbai,less than 120,no
NV Ojha,Mumbai,less than 120,no
OA Shah,Mumbai,more than 120,yes
P Awana,Mumbai,less than 120,no
P Dogra,Mumbai,less than 120,no
P Kumar,Mumbai,less than 120,no
P Negi,Mumbai,more than 120,yes
P Parameswaran,Mumbai,less than 120,no
P Sahu,Mumbai,more than 120,yes
PA Patel,Mumbai,less than 120,no
PA Reddy,Mumbai,less than 120,no
PA Reddy,Mumbai,more than 120,yes
Pankaj Singh,Mumbai,less than 120,no
Parvez Rasool,Mumbai,less than 120,no
PC Valthaty,Mumbai,less than 120,no
PD Collingwood,Mumbai,more than 120,yes
PJ Cummins,Mumbai,more than 120,yes
PJ Sangwan,Mumbai,less than 120,no
PM Sarvesh Kumar,Mumbai,less than 120,no
PP Chawla,Mumbai,less than 120,no
PP Ojha,Mumbai,less than 120,no
PR Shah,Mumbai,less than 120,no
PSP Handscomb,Mumbai,less than 120,no
PV Tambe,Mumbai,less than 120,no
Q de Kock,Mumbai,less than 120,no
Q de Kock,Mumbai,more than 120,yes
R Ashwin,Mumbai,less than 120,no
R Bhatia,Mumbai,less than 120,no
R Bishnoi,Mumbai,less than 120,no
R Dhawan,Mumbai,less than 120,no
R Dravid,Mumbai,less than 120,no
R McLaren,Mumbai,less than 120,no
R Ninan,Mumbai,less than 120,no
R Rampaul,Mumbai,less than 120,no
R Sathish,Mumbai,less than 120,no
R Sharma,Mumbai,less than 120,no
R Shukla,Mumbai,less than 120,no
R Tewatia,Mumbai,more than 120,yes
R Vinay Kumar,Mumbai,less than 120,no
RA Jadeja,Mumbai,less than 120,no
RA Tripathi,Mumbai,more than 120,yes
Rashid Khan,Mumbai,more than 120,yes
RD Chahar,Mumbai,more than 120,yes
RE Levi,Mumbai,less than 120,no
RE van der Merwe,Mumbai,less than 120,no
RG More,Mumbai,less than 120,no
RG Sharma,Mumbai,less than 120,no
RG Sharma,Mumbai,more than 120,yes
RJ Harris,Mumbai,less than 120,no
RJ Peterson,Mumbai,less than 120,no
RJ Quiney,Mumbai,less than 120,no
RN ten Doeschate,Mumbai,more than 120,yes
RP Singh,Mumbai,less than 120,no
RR Bhatkal,Mumbai,less than 120,no
RR Pant,Mumbai,more than 120,yes
RR Powar,Mumbai,less than 120,no
RR Raje,Mumbai,less than 120,no
RR Rossouw,Mumbai,less than 120,no
RR Sarwan,Mumbai,less than 120,no
RS Bopara,Mumbai,less than 120,no
RS Gavaskar,Mumbai,less than 120,no
RS Sodhi,Mumbai,more than 120,yes
RT Ponting,Mumbai,less than 120,no
RV Gomez,Mumbai,less than 120,no
RV Uthappa,Mumbai,more than 120,yes
S Anirudha,Mumbai,less than 120,no
S Aravind,Mumbai,less than 120,no
S Aravind,Mumbai,more than 120,yes
S Badree,Mumbai,less than 120,no
S Badrinath,Mumbai,less than 120,no
S Chanderpaul,Mumbai,less than 120,no
S Dhawan,Mumbai,less than 120,no
S Gopal,Mumbai,less than 120,no
S Kaul,Mumbai,less than 120,no
S Kaushik,Mumbai,less than 120,no
S Ladda,Mumbai,less than 120,no
S Nadeem,Mumbai,less than 120,no
S Narwal,Mumbai,more than 120,yes
S Rana,Mumbai,less than 120,no
S Randiv,Mumbai,less than 120,no
S Sohal,Mumbai,less than 120,no
S Sreesanth,Mumbai,less than 120,no
S Sriram,Mumbai,less than 120,no
S Tyagi,Mumbai,less than 120,no
S Vidyut,Mumbai,more than 120,yes
SA Abbott,Mumbai,less than 120,no
SA Asnodkar,Mumbai,more than 120,yes
SA Yadav,Mumbai,more than 120,yes
Sachin Baby,Mumbai,less than 120,no
Sachin Baby,Mumbai,more than 120,yes
Salman Butt,Mumbai,less than 120,no
Sandeep Sharma,Mumbai,less than 120,no
SB Bangar,Mumbai,less than 120,no
SB Jakati,Mumbai,less than 120,no
SB Joshi,Mumbai,less than 120,no
SB Styris,Mumbai,less than 120,no
SB Wagh,Mumbai,less than 120,no
SC Ganguly,Mumbai,less than 120,no
SD Chitnis,Mumbai,less than 120,no
SE Bond,Mumbai,less than 120,no
SE Marsh,Mumbai,more than 120,yes
Shahid Afridi,Kolkata,more than 120,yes
Shakib Al Hasan,Kolkata,more than 120,yes
Shivam Sharma,Kolkata,more than 120,yes
Shoaib Ahmed,Kolkata,less than 120,no
Shoaib Akhtar,Kolkata,less than 120,no
Shoaib Malik,Kolkata,less than 120,no
SJ Srivastava,Kolkata,less than 120,no
SJ Srivastava,Kolkata,more than 120,yes
SK Raina,Kolkata,more than 120,yes
SK Trivedi,Kolkata,less than 120,no
SK Warne,Kolkata,less than 120,no
SL Malinga,Kolkata,less than 120,no
SM Harwood,Kolkata,less than 120,no
SM Katich,Kolkata,more than 120,yes
SM Pollock,Kolkata,more than 120,yes
SMSM Senanayake,Kolkata,less than 120,no
SN Khan,Kolkata,more than 120,yes
SN Thakur,Kolkata,less than 120,no
Sohail Tanvir,Kolkata,less than 120,no
SP Fleming,Kolkata,less than 120,no
SP Goswami,Kolkata,less than 120,no
SP Jackson,Kolkata,more than 120,yes
SP Narine,Kolkata,more than 120,yes
SPD Smith,Kolkata,less than 120,no
SPD Smith,Kolkata,more than 120,yes
SR Tendulkar,Delhi,less than 120,no
SR Watson,Delhi,more than 120,yes
SS Iyer,Delhi,more than 120,yes
SS Shaikh,Delhi,less than 120,no
SS Tiwary,Delhi,less than 120,no
ST Jayasuriya,Delhi,more than 120,yes
STR Binny,Delhi,more than 120,yes
Sunny Gupta,Delhi,less than 120,no
Sunny Singh,Delhi,more than 120,yes
SV Samson,Delhi,more than 120,yes
SW Billings,Delhi,more than 120,yes
SW Tait,Delhi,less than 120,no
Swapnil Singh,Delhi,less than 120,no
T Henderson,Delhi,less than 120,no
T Kohli,Delhi,less than 120,no
T Taibu,Kolkata,less than 120,no
T Thushara,Kolkata,less than 120,no
TA Boult,Kolkata,less than 120,no
TD Paine,Kolkata,less than 120,no
TG Southee,Kolkata,more than 120,yes
TL Suman,Kolkata,less than 120,no
TM Dilshan,Kolkata,less than 120,no
TM Head,Kolkata,more than 120,yes
TM Srivastava,Kolkata,less than 120,no
TR Birt,Kolkata,more than 120,yes
TS Mills,Kolkata,less than 120,no
U Kaul,Kolkata,less than 120,no
UA Birla,Kolkata,less than 120,no
UBT Chand,Kolkata,less than 120,no
Umar Gul,Kolkata,more than 120,yes
UT Khawaja,Kolkata,more than 120,yes
UT Yadav,Kolkata,less than 120,no
UT Yadav,Kolkata,more than 120,yes
V Kohli,Kolkata,more than 120,yes
V Pratap Singh,Kolkata,less than 120,no
V Sehwag,Kolkata,more than 120,yes
V Shankar,Kolkata,more than 120,yes
VH Zol,Kolkata,less than 120,no
Vishnu Vinod,Kolkata,less than 120,no
VR Aaron,Kolkata,less than 120,no
VRV Singh,Kolkata,more than 120,yes
VS Malik,Kolkata,less than 120,no
VS Malik,Kolkata,more than 120,yes
VS Yeligati,Kolkata,less than 120,no
VS Yeligati,Kolkata,more than 120,yes
VVS Laxman,Kolkata,less than 120,no
VY Mahesh,Kolkata,less than 120,no
W Jaffer,Kolkata,less than 120,no
WA Mota,Kolkata,less than 120,no
Washington Sundar,Kolkata,less than 120,no
WD Parnell,Kolkata,less than 120,no
WP Saha,Kolkata,less than 120,no
WP Saha,Kolkata,more than 120,yes
WPUJC Vaas,Kolkata,less than 120,no
X Thalaivan Sargunam,Kolkata,less than 120,no
Y Gnaneswara Rao,Kolkata,less than 120,no
Y Nagar,Kolkata,less than 120,no
Y Venugopal Rao,Kolkata,less than 120,no
YA Abdulla,Kolkata,less than 120,no
Yashpal Singh,Kolkata,less than 120,no
YK Pathan,Kolkata,more than 120,yes
Younis Khan,Bangalore,less than 120,no
YS Chahal,Bangalore,less than 120,no
Yuvraj Singh,Bangalore,more than 120,yes
YV Takawale,Bangalore,less than 120,no
Z Khan,Bangalore,less than 120,no
